  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -67.5   81 148.58    .24  5.0    .18  7.1     .5   1.2  9.4    .7 24.0    5.1   1.5 17.6    .4 19.3
 030 -67.5   72 148.60    .38  8.4    .24  4.8     .0    .8  4.4    .5 23.8    6.1   1.2 17.0    .5 19.8
 030 -67.5   63 148.94    .13   .4    .26 11.1   -1.8   1.1  4.5    .6 17.9    5.0   1.1 16.9    .5 22.1
 030 -67.5   54 149.34    .58  2.9    .37  1.2   -4.8    .9  4.9    .9 17.9    3.1   1.4 13.5    .3 21.5
 030 -67.5   45 149.66    .62  3.1    .04 11.2   -7.2    .5  5.8    .4  3.0     .8   2.1 11.0    .3 19.0
 030 -67.5   36 150.19    .80 23.2    .48  3.8   -7.3    .9  8.7    .7  1.3   -1.1   2.1  9.8    .4  3.7
 030 -67.5   27 150.06    .74 22.0    .19  5.6   -6.1   1.1  7.8    .4   .0   -1.8   1.3  8.8    .9  4.0
 030 -67.5   18 149.96    .39  1.2    .34   .4   -4.5   1.0  6.8    .4 23.3   -1.2    .5  6.0   1.0  4.7
 030 -67.5    9 149.98    .70  4.3    .35  1.4   -3.0    .7  5.2    .7   .6    -.2    .9  8.0    .9  4.9
 030 -60.0  360 158.36   8.35 15.0   4.13  5.6     .1   1.6  9.1    .3  1.3    1.1    .7 14.9    .9  4.1
 030 -60.0  351 158.02   8.42 14.9   3.97  4.9    -.3   1.6  8.8    .4   .5     .6   1.3 13.5    .6  5.0
 030 -60.0  342 157.79   8.55 14.8   4.31  4.2    -.9   1.8  8.7    .3   .4     .3   2.2 14.2    .2  3.7
 030 -60.0  333 157.97   8.03 14.4   4.38  3.1     .9   1.4  6.6    .6  9.0    2.2   1.8 13.9    .7  2.8
 030 -60.0  324 155.67   9.09 14.3   4.41  2.2    3.3   2.3  4.5    .9  8.9    5.3   1.6 10.7    .4  2.6
