  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2
 030 -37.5  315 188.26  25.64 13.9  11.15   .9
 030 -37.5  306 184.90  22.23 14.1   9.64  1.0
 030 -37.5  297 183.35  19.58 14.2   8.72  1.1
 030 -37.5  288 185.25  21.37 14.1   9.33  1.1
 030 -37.5  279 186.40  22.62 14.1   9.90  1.0
 030 -37.5  270 185.53  22.12 14.0   9.92  1.0
 030 -37.5  261 183.98  23.84 14.0  10.73  1.0
 030 -37.5  252 183.31  26.94 13.9  12.19   .9
 030 -37.5  243 184.15  30.08 13.8  13.26   .8
 030 -37.5  234 183.29  29.49 13.8  13.23   .8
 030 -37.5  225 184.99  32.18 13.7  13.55   .8
 030 -37.5  216 186.17  30.92 13.8  13.31   .8
 030 -37.5  207 188.41  30.05 13.8  13.00   .8
 030 -37.5  198 189.51  30.66 13.8  12.82   .8
 030 -37.5  189 188.71  30.47 13.8  13.10   .8
 030 -37.5  180 188.20  30.21 13.8  13.00   .9
 030 -37.5  171 187.55  31.50 13.8  13.47   .8
 030 -37.5  162 185.96  32.21 13.8  13.90   .8
 030 -37.5  153 185.58  31.88 13.8  13.68   .8
 030 -37.5  144 185.62  32.19 13.8  13.90   .8
 030 -37.5  135 186.08  32.62 13.8  13.91   .8
 030 -37.5  126 186.53  34.07 13.7  14.29   .8
 030 -37.5  117 186.33  34.20 13.7  14.51   .8
 030 -37.5  108 187.19  34.52 13.7  14.08   .7
 030 -37.5   99 186.36  33.83 13.7  14.18   .7
 030 -37.5   90 186.82  34.09 13.7  13.83   .7
 030 -37.5   81 186.52  33.01 13.7  13.93   .8
 030 -37.5   72 187.62  32.91 13.7  13.66   .8
 030 -37.5   63 187.70  30.75 13.8  12.66   .8
 030 -37.5   54 189.85  28.26 13.9  11.97   .9
 030 -37.5   45 190.57  27.96 13.9  11.70   .9
 030 -37.5   36 190.73  28.52 13.9  12.05   .9
 030 -37.5   27 189.71  28.57 13.8  12.47   .9
 030 -37.5   18 189.23  30.10 13.8  12.88   .8
 030 -37.5    9 188.76  31.39 13.8  13.48   .8
 030 -30.0  360 197.34  35.36 13.7  14.21   .7
 030 -30.0  351 197.04  35.13 13.7  14.22   .7
 030 -30.0  342 196.91  34.89 13.7  14.11   .8
 030 -30.0  333 197.01  34.74 13.7  13.90   .8
 030 -30.0  324 197.98  34.68 13.7  13.82   .8
 030 -30.0  315 197.23  31.47 13.8  12.59   .8
 030 -30.0  306 193.54  27.51 13.8  11.23   .8
 030 -30.0  297 191.05  24.50 13.9  10.36   .9
 030 -30.0  288 190.24  24.46 13.9  10.09   .9
 030 -30.0  279 190.26  26.24 13.9  10.76   .9
 030 -30.0  270 190.72  27.96 13.8  11.63   .8
 030 -30.0  261 190.94  28.95 13.8  12.35   .9
 030 -30.0  252 190.87  30.72 13.8  13.16   .8
 030 -30.0  243 192.49  33.26 13.7  13.57   .8
 030 -30.0  234 193.68  33.38 13.8  13.86   .8
 030 -30.0  225 196.80  35.12 13.7  14.12   .8
 030 -30.0  216 197.87  34.65 13.7  14.09   .8
 030 -30.0  207 198.29  34.12 13.7  13.83   .8
 030 -30.0  198 197.84  34.72 13.7  13.84   .8
 030 -30.0  189 196.80  35.28 13.7  14.24   .7
 030 -30.0  180 196.14  35.14 13.7  14.23   .7
 030 -30.0  171 196.13  36.47 13.6  14.67   .7
 030 -30.0  162 195.61  36.97 13.6  14.90   .7
 030 -30.0  153 195.39  36.63 13.6  14.81   .7
 030 -30.0  144 194.93  36.53 13.7  15.09   .7
 030 -30.0  135 194.47  37.42 13.7  14.91   .7
 030 -30.0  126 193.79  38.88 13.6  15.47   .7
 030 -30.0  117 194.01  39.39 13.6  15.53   .7
 030 -30.0  108 194.39  38.55 13.6  15.09   .7
 030 -30.0   99 194.82  36.86 13.7  14.50   .7
 030 -30.0   90 195.75  35.76 13.7  13.91   .8
 030 -30.0   81 195.71  35.71 13.7  14.39   .8
 030 -30.0   72 196.13  36.33 13.7  14.22   .7
 030 -30.0   63 197.20  34.56 13.8  13.40   .8
 030 -30.0   54 200.10  32.79 13.8  13.05   .8
 030 -30.0   45 200.23  32.31 13.8  12.91   .8
 030 -30.0   36 200.17  33.23 13.8  13.23   .8
 030 -30.0   27 199.09  33.05 13.8  13.56   .8
 030 -30.0   18 198.65  34.31 13.7  13.76   .8
 030 -30.0    9 197.86  35.36 13.7  14.29   .7
 030 -22.5  360 204.28  36.94 13.7  14.29   .7
 030 -22.5  351 203.31  37.52 13.7  14.66   .7
 030 -22.5  342 202.88  37.83 13.6  14.67   .7
 030 -22.5  333 202.97  38.14 13.6  14.76   .7
 030 -22.5  324 204.09  38.62 13.6  14.64   .7
 030 -22.5  315 205.02  36.83 13.7  14.14   .7
 030 -22.5  306 203.06  34.06 13.7  13.27   .7
 030 -22.5  297 200.90  32.25 13.7  12.93   .7
 030 -22.5  288 200.54  33.29 13.6  13.11   .7
 030 -22.5  279 199.53  34.43 13.6  13.39   .7
 030 -22.5  270 199.86  35.88 13.6  13.89   .7
 030 -22.5  261 199.66  36.37 13.7  14.21   .7
 030 -22.5  252 200.24  37.21 13.7  14.36   .7
 030 -22.5  243 201.45  37.74 13.6  14.52   .7
 030 -22.5  234 202.28  37.51 13.7  14.58   .7
 030 -22.5  225 204.29  38.74 13.6  14.92   .7
 030 -22.5  216 204.35  38.49 13.6  14.95   .7
 030 -22.5  207 204.30  37.79 13.6  14.60   .7
 030 -22.5  198 203.43  37.94 13.6  14.70   .7
 030 -22.5  189 202.01  38.72 13.6  15.17   .7
 030 -22.5  180 201.22  39.18 13.6  15.12   .6
 030 -22.5  171 200.68  39.68 13.6  15.50   .6
 030 -22.5  162 199.86  40.28 13.5  15.85   .6
 030 -22.5  153 198.61  41.40 13.5  16.38   .6
 030 -22.5  144 197.88  43.02 13.4  16.75   .5
 030 -22.5  135 197.49  43.40 13.5  16.46   .6
 030 -22.5  126 196.95  43.49 13.5  16.46   .6
 030 -22.5  117 198.24  43.28 13.4  15.97   .5
 030 -22.5  108 199.28  41.31 13.6  15.52   .6
 030 -22.5   99 201.03  38.50 13.7  14.51   .7
 030 -22.5   90 202.39  36.88 13.7  13.90   .8
 030 -22.5   81 203.33  36.84 13.8  13.97   .7
 030 -22.5   72 203.48  36.82 13.7  13.70   .7
 030 -22.5   63 205.72  35.57 13.8  13.51   .8
 030 -22.5   54 207.09  34.28 13.8  13.13   .8
 030 -22.5   45 207.22  34.15 13.8  13.07   .8
 030 -22.5   36 207.35  34.80 13.8  13.40   .8
 030 -22.5   27 206.76  34.61 13.8  13.53   .8
 030 -22.5   18 205.96  35.46 13.7  13.80   .8
 030 -22.5    9 205.14  36.37 13.7  14.18   .8
 030 -15.0  360 209.64  39.04 13.6  14.84   .7
 030 -15.0  351 207.98  40.71 13.6  15.50   .7
 030 -15.0  342 206.89  42.13 13.5  15.72   .6
 030 -15.0  333 206.46  43.28 13.5  16.16   .6
 030 -15.0  324 207.11  43.23 13.5  15.81   .6
 030 -15.0  315 210.38  42.74 13.5  15.68   .6
 030 -15.0  306 210.28  41.06 13.6  15.07   .6
 030 -15.0  297 208.13  39.33 13.6  14.56   .6
 030 -15.0  288 208.70  40.12 13.6  14.99   .6
 030 -15.0  279 207.42  39.78 13.6  14.35   .6
 030 -15.0  270 207.14  39.98 13.6  14.30   .6
 030 -15.0  261 206.37  39.93 13.6  14.55   .6
 030 -15.0  252 206.63  40.26 13.6  14.75   .6
 030 -15.0  243 206.83  40.01 13.6  14.89   .6
 030 -15.0  234 207.45  39.82 13.6  14.66   .6
 030 -15.0  225 208.68  41.07 13.6  15.08   .6
 030 -15.0  216 207.88  41.37 13.6  15.22   .6
 030 -15.0  207 207.47  40.72 13.6  15.07   .6
 030 -15.0  198 206.69  40.71 13.6  15.46   .6
 030 -15.0  189 205.15  42.25 13.5  16.04   .6
 030 -15.0  180 203.76  43.83 13.4  16.57   .5
 030 -15.0  171 202.90  44.77 13.4  17.08   .5
 030 -15.0  162 201.60  46.23 13.3  17.55   .5
 030 -15.0  153 199.52  48.52 13.2  18.77   .4
 030 -15.0  144 198.08  50.81 13.1  19.18   .3
 030 -15.0  135 197.02  51.73 13.2  18.94   .3
 030 -15.0  126 196.58  50.89 13.2  18.34   .3
 030 -15.0  117 198.30  48.66 13.3  17.49   .4
 030 -15.0  108 200.35  46.66 13.4  16.82   .5
 030 -15.0   99 203.05  43.20 13.5  15.54   .6
 030 -15.0   90 205.49  41.21 13.6  14.75   .7
 030 -15.0   81 207.78  39.47 13.8  14.32   .7
 030 -15.0   72 209.34  38.09 13.7  13.90   .7
 030 -15.0   63 210.53  37.46 13.8  13.78   .7
 030 -15.0   54 212.08  36.28 13.8  13.31   .8
 030 -15.0   45 212.42  35.46 13.8  13.21   .8
 030 -15.0   36 212.72  35.44 13.8  13.24   .8
 030 -15.0   27 212.47  35.35 13.8  13.37   .8
 030 -15.0   18 211.70  36.46 13.7  13.87   .8
 030 -15.0    9 211.04  38.13 13.7  14.24   .7
 030  -7.5  360 213.83  40.83 13.6  15.11   .7
 030  -7.5  351 211.51  43.39 13.5  16.18   .6
 030  -7.5  342 208.92  46.84 13.4  16.86   .5
 030  -7.5  333 207.18  49.13 13.3  17.76   .4
 030  -7.5  324 207.28  48.76 13.3  17.19   .4
 030  -7.5  315 211.35  48.25 13.4  16.97   .5
 030  -7.5  306 212.72  45.62 13.5  15.92   .6
 030  -7.5  297 213.89  44.33 13.5  15.52   .6
 030  -7.5  288 214.26  43.30 13.6  15.48   .6
 030  -7.5  279 214.44  42.11 13.6  14.69   .6
 030  -7.5  270 213.60  41.26 13.6  14.39   .6
 030  -7.5  261 211.93  40.55 13.7  14.35   .7
 030  -7.5  252 210.13  40.02 13.6  14.09   .7
 030  -7.5  243 209.30  40.00 13.6  14.28   .7
 030  -7.5  234 209.87  40.16 13.6  14.16   .7
 030  -7.5  225 211.54  41.44 13.6  14.71   .6
 030  -7.5  216 210.42  42.40 13.5  15.19   .6
 030  -7.5  207 208.87  43.65 13.4  15.52   .6
 030  -7.5  198 207.24  45.02 13.4  16.66   .5
 030  -7.5  189 205.45  48.10 13.3  17.66   .5
 030  -7.5  180 204.06  50.85 13.1  18.56   .3
 030  -7.5  171 203.16  51.08 13.1  19.21   .4
 030  -7.5  162 202.39  52.23 13.1  19.27   .3
 030  -7.5  153 201.37  52.95 13.0  20.26   .3
 030  -7.5  144 200.39  54.61 13.0  20.26   .2
 030  -7.5  135 199.39  55.90 13.0  20.25   .2
 030  -7.5  126 197.07  57.17 13.0  19.49   .2
 030  -7.5  117 197.96  55.66 13.0  18.48   .2
 030  -7.5  108 198.80  53.57 13.2  18.65   .3
 030  -7.5   99 201.47  50.47 13.3  16.89   .4
 030  -7.5   90 205.17  47.12 13.5  16.07   .5
 030  -7.5   81 208.72  43.56 13.6  15.42   .6
 030  -7.5   72 210.24  41.80 13.6  14.64   .6
 030  -7.5   63 212.23  40.92 13.6  14.47   .7
 030  -7.5   54 214.29  39.05 13.7  13.69   .7
 030  -7.5   45 215.35  36.71 13.7  13.33   .7
 030  -7.5   36 215.67  35.45 13.8  13.12   .8
 030  -7.5   27 216.06  36.00 13.8  13.27   .8
 030  -7.5   18 215.54  37.10 13.7  13.90   .8
 030  -7.5    9 214.87  38.82 13.7  14.35   .7
