  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -15.0  18 206.87 32.30 13.6 13.60   .7
  30 -15.0   9 205.62 33.68 13.5 14.21   .7
  30  -7.5 360 206.16 42.21 13.0 17.45   .3
  30  -7.5 351 205.50 43.78 12.9 18.05   .2
  30  -7.5 342 205.15 43.76 12.9 18.17   .2
  30  -7.5 333 203.98 45.87 12.8 19.10   .2
  30  -7.5 324 202.39 49.52 12.6 20.54   .1
  30  -7.5 315 201.71 51.03 12.7 20.80   .1
  30  -7.5 306 200.37 54.07 12.7 20.68   .1
  30  -7.5 297 198.53 57.60 12.7 21.34   .0
  30  -7.5 288 200.62 54.37 12.9 20.12   .1
  30  -7.5 279 203.71 49.08 13.1 18.44   .3
  30  -7.5 270 206.47 45.09 13.3 17.49   .4
  30  -7.5 261 207.86 42.70 13.3 16.86   .4
  30  -7.5 252 208.25 41.68 13.3 16.63   .4
  30  -7.5 243 210.24 39.47 13.5 15.68   .6
  30  -7.5 234 212.43 34.56 13.7 13.73   .7
  30  -7.5 225 213.60 30.16 13.8 12.22   .8
  30  -7.5 216 214.49 27.85 13.9 11.39   .9
  30  -7.5 207 214.94 27.45 13.9 11.25   .9
  30  -7.5 198 214.69 28.35 13.8 11.60   .9
  30  -7.5 189 214.25 29.81 13.8 12.16   .8
  30  -7.5 180 213.66 31.87 13.7 12.98   .8
  30  -7.5 171 212.22 34.99 13.6 14.14   .7
  30  -7.5 162 209.89 39.43 13.4 15.82   .5
  30  -7.5 153 208.23 43.34 13.3 17.15   .4
  30  -7.5 144 208.08 43.54 13.3 17.10   .4
  30  -7.5 135 209.66 40.23 13.4 15.79   .6
  30  -7.5 126 211.72 37.37 13.6 14.59   .7
  30  -7.5 117 213.08 36.11 13.6 14.11   .7
  30  -7.5 108 213.85 35.31 13.7 13.78   .7
  30  -7.5  99 214.06 34.32 13.7 13.39   .8
  30  -7.5  90 213.64 33.71 13.7 13.22   .8
  30  -7.5  81 213.31 33.34 13.7 13.15   .8
  30  -7.5  72 213.05 33.16 13.7 13.17   .8
  30  -7.5  63 212.76 33.67 13.7 13.38   .7
  30  -7.5  54 212.63 33.90 13.7 13.47   .7
  30  -7.5  45 212.30 33.78 13.7 13.59   .7
  30  -7.5  36 211.16 34.64 13.6 14.03   .7
  30  -7.5  27 209.76 35.75 13.5 14.64   .6
  30  -7.5  18 208.86 36.40 13.4 15.07   .6
  30  -7.5   9 207.68 38.63 13.2 15.97   .4
  30    .0 360 206.84 46.67 12.7 19.52   .1
