  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -75.0 189 145.46   .05 22.1   .02   .6    2.3  1.4 18.0   .9  8.8   -6.2  1.5 13.6   .5 12.0
  30 -75.0 180 145.47   .06 23.9   .01  9.7    3.8  1.4 22.5  1.0  8.6   -6.4  1.0 20.4   .6  8.9
  30 -75.0 171 145.47   .03  3.1   .01  9.3    5.3   .9  5.5  1.1 10.4   -6.1   .9 13.3   .2 11.7
  30 -75.0 162 145.53   .02 23.7   .00  9.7    6.1   .1  7.8   .9   .1   -5.6  1.3 17.9   .1  2.0
  30 -75.0 153 145.70   .03  3.0   .03  2.0    6.2   .3  5.5   .4   .2   -6.7   .4 15.1   .2  6.4
  30 -75.0 144 145.77   .06  1.4   .02  1.2    6.8   .2 22.7   .6 10.6   -7.6  1.8 19.2   .9 11.4
  30 -75.0 135 145.76   .05  5.4   .02  5.1    8.0  1.7  4.0   .9 12.0   -8.2  1.6  1.5  1.1  2.1
  30 -75.0 126 145.82   .05  8.2   .02  7.0    9.2  2.8  6.9   .2  7.0   -7.3  2.0  7.5   .1  7.9
  30 -75.0 117 145.91   .04 10.9   .01  8.3    9.4  1.6 10.3   .5  1.4   -7.8  1.6 10.9   .1  7.3
  30 -75.0 108 145.99   .03 15.6   .02  2.5   10.1   .3 12.1   .4  4.2   -7.4  1.2 15.3   .6  9.7
  30 -75.0  99 146.01   .01  3.2   .01  6.3   10.5   .7  6.7   .9   .7   -8.5   .4 18.5   .8  2.9
  30 -75.0  90 146.12   .04   .9   .02  8.4   11.2   .9  9.0   .1   .8   -8.9   .4 17.8   .3  6.5
  30 -75.0  81 146.09   .07  2.4   .02  2.0   12.5  1.0 10.1  1.6  1.7   -9.3   .4 21.9  1.2  5.8
  30 -75.0  72 146.15   .02  9.1   .08   .1   13.6   .8 12.8  1.2  2.0   -8.2   .8  5.1   .2  1.3
  30 -75.0  63 146.17   .04  8.8   .04  1.9   13.2  1.1 15.1  1.4  3.7   -8.9   .7 10.4  1.1  6.0
  30 -75.0  54 146.03   .02  1.2   .01  8.0   14.1  1.0 19.8  1.1  4.0   -9.2   .6 12.8  1.4  7.2
  30 -75.0  45 145.87   .02  2.0   .01 10.1   16.5  1.3 23.3  1.6  3.8   -9.1   .9 10.2  1.2  7.7
  30 -75.0  36 145.72   .01  1.0   .01  6.1   18.3  1.7   .2   .6  5.5   -7.0   .8 13.7   .4 11.7
  30 -75.0  27 145.66   .03  5.2   .01  7.9   19.0  1.8  2.3   .6  4.6   -5.5   .1 16.6   .7  6.7
  30 -75.0  18 145.64   .04 19.0   .04  6.3   19.9  1.8  5.7  1.1  4.5   -3.4   .7 14.7   .5  8.9
  30 -75.0   9 145.59   .02  3.7   .01  8.2   20.3  1.7  5.6  1.3  5.9   -1.5  1.2  9.7   .5  8.7
  30 -67.5 360 147.02   .20  6.6   .11  1.4   11.3  1.9  4.7  3.4   .9     .7  1.1 14.1  3.7  4.0
  30 -67.5 351 146.99   .10  7.3   .03 10.0   10.1  2.4  5.9  3.9  8.4     .5   .9 18.1  3.4 11.4
  30 -67.5 342 146.93   .20 14.3   .08  2.7   10.5  2.6 10.7  4.5  1.9   -1.7   .9 21.3  5.3  5.0
  30 -67.5 333 146.51   .15 14.8   .10  4.1   12.5   .9 19.8  3.8  9.6   -2.9   .3 17.5  3.3   .4
  30 -67.5 324 146.25   .08 17.2   .17  3.1   15.8  1.9  4.7  3.2  2.7   -2.6  1.5 23.6  3.2  5.7
  30 -67.5 315 146.24   .08 17.8   .18  3.3   18.0  1.4  6.7  3.6 10.6   -1.1  2.2  7.0  2.9  1.8
  30 -67.5 306 146.16   .13 15.8   .10  4.6   19.2  2.5  7.8   .8  4.5   -1.1  1.5 15.8  1.6  8.1
  30 -67.5 297 146.10   .15 17.1   .06  4.7   19.2  3.4 12.6  2.2 11.9    -.3   .2 19.0  1.8  2.6
  30 -67.5 288 146.09   .22 20.1   .02 11.1   17.7  3.3 19.5  1.7  7.0    -.5  1.9 18.6  2.0 10.3
  30 -67.5 279 146.06   .03 23.5   .08  1.3   15.4  3.3  3.4  2.0  1.3    -.5  2.4  1.8  1.7  4.5
  30 -67.5 270 146.09   .05 12.3   .08  2.5   13.2  2.6  9.1  2.8  8.5    -.8  2.3 11.3  3.1 11.4
  30 -67.5 261 146.12   .08 17.0   .04  3.4   11.2   .9 13.7  1.4  3.1    -.1  2.6 20.0  1.1  6.7
  30 -67.5 252 146.19   .13 15.9   .07  3.8    8.8   .7 13.5  3.2  9.7   -2.8  1.3  2.1  3.4   .8
  30 -67.5 243 146.24   .17 16.9   .03  2.9    6.6  1.0 22.0   .7  7.4   -4.9   .7 15.9  1.2  9.6
  30 -67.5 234 146.22   .03 17.9   .01  1.0    4.9  2.4  2.4  3.2 10.5   -8.5   .6   .0  3.1  1.3
  30 -67.5 225 146.23   .02  8.7   .02  4.1    4.3  1.9  7.9  2.3  7.2  -11.2   .2  7.0  2.4 10.3
  30 -67.5 216 146.18   .12 16.5   .10  4.2    5.9   .8 13.5  2.2 12.0  -12.1   .8 21.9  2.0  3.1
  30 -67.5 207 146.56   .37 17.4   .21  2.2    8.2   .2 13.4  1.7  8.8  -12.3   .9  5.2  1.8 11.6
  30 -67.5 198 146.93   .51 19.8   .34  4.0    9.4   .6  4.7  2.4   .9  -11.2  1.6 12.9  2.2  4.3
  30 -67.5 189 147.29   .82 20.6   .22   .9    9.3  1.2  8.2  1.4  9.9  -10.8  1.9 16.0  1.5 11.8
  30 -67.5 180 147.51   .49 19.4   .14  3.7    9.4  1.2 12.8  1.8  2.2  -10.4  2.0 18.4  1.8  5.4
  30 -67.5 171 147.80   .20 22.0   .05  8.0    9.5   .6 22.0  1.8  9.8   -9.5   .8 20.3  1.4   .1
  30 -67.5 162 147.42   .51 16.2   .26  4.0    9.5   .5 19.3   .7   .7   -9.7  1.7 19.3   .5  2.3
  30 -67.5 153 147.74   .36 16.0   .19  2.8    9.8   .8  5.1  1.7 11.9   -9.2  2.0 23.2  1.7  3.1
  30 -67.5 144 147.52   .50 21.4   .24  4.8    9.4  2.0 11.4  3.2  9.0   -8.7  1.3  4.5  2.8 11.6
  30 -67.5 135 147.05   .34  5.0   .07 11.6    7.7  2.4 17.4  2.0   .1   -8.2  2.6  9.2  1.2  3.9
  30 -67.5 126 146.84   .20  7.6   .08  5.6    6.6  2.5 22.3   .8 10.1   -6.7  1.8 13.2   .9 11.5
  30 -67.5 117 147.14   .10 17.2   .11  3.7    5.4  1.6  4.4  1.1 11.4   -6.7  1.1 17.5  1.1  1.8
  30 -67.5 108 147.58   .27 13.9   .07  1.1    3.8  2.0  9.9  2.9 10.1   -7.6  1.1 16.7  3.1   .9
  30 -67.5  99 148.13   .17 16.3   .08   .6    3.6  1.1 16.2  2.0  1.0  -11.5   .3 23.1  1.9  3.8
  30 -67.5  90 148.02   .39 16.2   .06  7.5    5.9   .9 20.3  1.5  8.6  -10.4   .2 19.3  1.7   .0
  30 -67.5  81 148.79   .23 14.8   .45  3.6    7.2   .7  1.8   .8  2.0   -8.5   .3  1.3  1.0  4.7
  30 -67.5  72 148.19   .32 16.3   .28  3.6    6.3  1.0  5.6  4.9  9.9   -6.0   .7  8.2  4.7   .7
  30 -67.5  63 148.36   .13 16.0   .21  4.0    4.8  2.0  8.6  2.7  2.2   -5.7  1.2  9.6  3.0  5.2
  30 -67.5  54 148.03   .14  8.2   .20  5.1    2.4  1.3 11.9  4.1 10.2   -5.4  2.0 11.3  3.7  1.2
  30 -67.5  45 147.77   .15  4.4   .03  4.2    1.7   .7 17.5   .5  3.9   -6.6  1.5 16.3   .6  8.4
  30 -67.5  36 147.57   .24  1.4   .35  3.4    3.7   .2  3.8  4.7 11.6   -5.9  1.1 19.5  4.7  2.4
  30 -67.5  27 147.81   .09  2.8   .40  3.5    6.5   .6 15.9  2.8  4.7   -5.1   .6 19.5  2.4  7.8
  30 -67.5  18 147.35   .26  1.4   .03  2.7    8.6   .9   .3  4.9 11.4   -3.6   .9 17.9  5.5  2.4
  30 -67.5   9 147.01   .14  4.1   .10  1.7   10.6  2.2  2.9  1.7  5.1   -1.8   .8  7.4  1.0  7.7
  30 -60.0 360 152.71  6.84 15.4  4.01  3.0   10.1   .9  8.8  1.0   .6    -.6   .9 15.6  1.5  2.8
  30 -60.0 351 152.27  6.67 15.4  3.90  3.1   11.3   .8  9.8  1.0  6.1   -1.1  1.6 22.5   .6  8.4
  30 -60.0 342 152.19  6.89 15.6  3.83  3.1   10.0  1.8  4.8   .9  9.4   -2.9  2.3  6.5   .9  1.2
  30 -60.0 333 151.91  6.53 15.6  3.88  3.2    9.5  3.3  8.4   .2  8.5   -4.3  3.1 14.2   .4  1.2
  30 -60.0 324 152.09  7.26 15.6  3.80  3.2   10.8  1.6 12.8   .7  9.8   -4.9  3.2 23.5   .9  1.2
  30 -60.0 315 151.94  6.79 15.7  4.10  3.3   13.7  2.4  7.2  1.3  2.4   -3.6  3.8  9.9  1.3  4.5
  30 -60.0 306 151.86  6.74 15.7  3.42  3.4   15.3  1.6 12.1   .4  1.3   -2.5  2.4 17.8   .5  3.5
  30 -60.0 297 151.92  6.76 15.7  3.71  3.3   16.0  2.6  3.5   .6   .4   -3.0  3.1  7.0  1.5  2.3
  30 -60.0 288 151.53  6.56 15.7  3.23  3.3   18.3  4.3  9.7  1.4  2.0   -3.5  3.9 15.9  2.2  4.5
  30 -60.0 279 152.09  6.68 15.7  3.45  3.3   19.6  1.5 15.4   .6 10.9   -1.3  2.1   .6   .7  2.0
  30 -60.0 270 151.55  6.58 15.7  3.27  3.3   17.4  3.7  4.3  1.2  2.9   -1.7  3.9  9.4   .8  4.0
  30 -60.0 261 151.18  5.13 15.8  2.94  3.4   16.7  1.8  7.4  1.5 11.6   -2.2  1.3   .4  1.6  2.8
  30 -60.0 252 151.35  4.80 15.8  3.34  3.5   16.2  1.2  6.8  1.0  4.1   -2.5  3.1  6.9   .6  7.0
  30 -60.0 243 150.72  4.17 15.9  2.63  3.4   13.2  2.7  7.6  1.8  2.0   -3.4  3.4 12.6  1.4  4.8
  30 -60.0 234 150.25  3.70 15.8  2.68  3.3    8.5   .8 21.8  1.2  7.2   -4.6  1.7 23.0  1.8  9.8
  30 -60.0 225 150.43  4.13 16.0  2.47  3.4    6.0  2.6  1.3  1.9  1.8   -9.7  1.0  3.7  1.7  5.6
  30 -60.0 216 151.35  4.25 15.9  3.03  3.0    6.1  2.8  5.4  1.0  2.1  -10.2  1.4 16.4   .3  6.7
  30 -60.0 207 152.78  6.76 15.3  3.77  2.9    6.7  3.2  8.3  1.2  3.8  -11.8   .8 16.1   .6  6.9
