  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  60 -37.5 138.54  7.71 10.6  5.41  1.9 4.358E-01  4.29 16.7  3.14   .1 1.669E-05
  30  55 -37.5 138.00  6.20 11.0  1.93  7.8 8.902E-01  4.11 18.9  2.79 11.5 3.419E-05
  30  50 -37.5 139.66  4.74 16.4  2.35 11.3 1.812E+00  3.83 20.1  2.34 11.7 6.868E-05
  30  45 -37.5 144.71  4.11 21.0  1.78   .3 3.626E+00  2.91 20.9  1.51 11.7 1.327E-04
  30  40 -37.5 151.73  3.41   .8  1.05   .0 7.044E+00  2.28 20.0  1.05 11.4 2.458E-04
  30  35 -37.5 158.59  2.23  9.3   .96 10.3 1.328E+01  1.95 19.3   .79 11.5 4.429E-04
  30  30 -37.5 166.35  1.98 14.1   .86 11.4 2.433E+01  1.73 20.1   .54 11.9 7.737E-04
  30  25 -37.5 173.74  2.05 17.9   .66   .6 4.341E+01  1.46 21.4   .33 12.0 1.322E-03
  30  20 -37.5 179.54  2.13 20.1   .52  1.1 7.577E+01  1.03 22.9   .23 11.1 2.233E-03
  30  15 -37.5 184.63  1.61 21.6   .38  1.7 1.301E+02   .69   .9   .23  9.7 3.728E-03
  30  10 -37.5 189.36   .99 22.6   .28  2.7 2.202E+02   .56  3.5   .25  9.2 6.152E-03
  30   5 -37.5 194.18  1.12 20.4   .47  3.9 3.681E+02   .56  5.6   .30  9.3 1.003E-02
  30   0 -37.5 195.68  2.73 18.3   .87  3.2 6.013E+02   .53  6.8   .23  8.8 1.627E-02
  30  80 -30.0 130.28  7.20 17.7  5.97 11.9 2.378E-02  9.52 11.2 14.27   .2 9.646E-07
  30  75 -30.0 134.98  8.47 21.6  6.62 11.9 4.996E-02  7.56  9.4 11.05   .2 1.960E-06
  30  70 -30.0 137.16  7.52  1.4  5.84   .1 1.031E-01  6.63 10.1  8.07   .3 3.980E-06
  30  65 -30.0 137.71  8.60  6.7  5.99   .3 2.114E-01  5.79 12.0  5.35   .4 8.138E-06
  30  60 -30.0 137.91  9.57  9.1  4.08  1.8 4.328E-01  5.38 15.9  3.29   .1 1.666E-05
  30  55 -30.0 136.70  7.67 11.9  2.55  9.7 8.895E-01  5.51 19.1  2.92 11.9 3.451E-05
  30  50 -30.0 137.45  6.12 16.5  2.86 11.9 1.829E+00  5.09 20.8  2.11   .3 7.046E-05
  30  45 -30.0 142.54  5.53 20.2  1.65  1.1 3.699E+00  3.83 22.2  1.15   .4 1.374E-04
  30  40 -30.0 149.15  4.85 22.5  1.00   .4 7.264E+00  2.46 23.1   .77   .1 2.578E-04
  30  35 -30.0 156.16  3.10  2.1   .80 11.5 1.384E+01  1.81 22.2   .61   .1 4.691E-04
  30  30 -30.0 164.83  2.24  8.7   .71   .4 2.557E+01  1.41 20.2   .45   .2 8.208E-04
  30  25 -30.0 173.46  1.60 15.7   .54  1.5 4.576E+01  1.13 21.0   .36 11.4 1.396E-03
  30  20 -30.0 181.10  1.51 19.1   .39  2.3 7.971E+01   .85 22.6   .34  9.9 2.329E-03
  30  15 -30.0 188.25  1.25 20.5   .29  2.8 1.358E+02   .66   .9   .33  9.5 3.817E-03
  30  10 -30.0 194.68   .92 21.9   .28  3.0 2.271E+02   .62  3.5   .32  9.4 6.172E-03
  30   5 -30.0 201.44  1.49 18.9   .51  3.6 3.736E+02   .61  5.3   .36  9.4 9.813E-03
  30   0 -30.0 200.38  2.68 17.9  1.35  3.3 6.052E+02   .43  9.0   .29  8.2 1.599E-02
  30  80 -22.5 130.93  9.54 17.6  5.20 11.8 2.355E-02 10.85  8.1 14.50   .1 9.516E-07
  30  75 -22.5 135.48 10.13 20.2  6.47 11.9 4.938E-02  8.60  7.1 11.65   .2 1.933E-06
  30  70 -22.5 137.40  9.66   .5  7.14 11.8 1.018E-01  8.26  8.4  8.63   .3 3.932E-06
  30  65 -22.5 138.31 10.87  4.8  6.55   .2 2.085E-01  7.73 10.7  5.89   .4 8.007E-06
  30  60 -22.5 138.17 13.56  8.2  4.18   .8 4.266E-01  6.76 14.6  3.70   .4 1.643E-05
  30  55 -22.5 136.60 11.25 11.8  3.03 10.6 8.768E-01  7.09 18.4  2.83   .4 3.410E-05
  30  50 -22.5 136.81  7.82 16.3  3.04   .0 1.807E+00  6.50 20.8  1.94  1.1 6.998E-05
  30  45 -22.5 140.60  7.20 19.4  1.72  1.7 3.680E+00  4.77 22.8  1.08  1.6 1.386E-04
  30  40 -22.5 146.56  6.02 22.4  1.09  1.6 7.308E+00  2.89  1.0   .72  1.3 2.640E-04
  30  35 -22.5 154.78  4.38  1.1   .70  1.6 1.404E+01  1.98  3.8   .59   .9 4.801E-04
  30  30 -22.5 163.26  2.98  4.9   .51  2.2 2.609E+01  1.46  9.5   .50 10.9 8.457E-04
  30  25 -22.5 172.33  2.13  9.4   .41  3.2 4.692E+01  1.06 15.7   .45  9.6 1.440E-03
  30  20 -22.5 181.33  1.46 14.1   .28  3.9 8.183E+01   .84 18.9   .44  9.5 2.388E-03
  30  15 -22.5 189.92  1.10 17.6   .24  3.2 1.390E+02   .72 22.0   .43  9.5 3.874E-03
